Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00240726108493841,0.000418202039983564,0.00979407155909989,0,0,0,28.1386020223436,1.02468969743477,0.0158941047042103,-0.00370358705210533,2.18751601311466,-2.28678674738598E-05,3.20778172827221,0,0,0,0,0,0,package://clean_robot_urdf/meshes/base_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://clean_robot_urdf/meshes/base_link.STL,,Y25006-01.01 Y25006_路径智能规划工业清洁机器人的研发_车架模组-2/Y25006-01.01-01 底盘-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,-4.0925E-05,-0.023024,-0.00050223,0,0,0,1.0564,0.0039835,-2.5313E-06,-2.7501E-06,0.004638,-3.3138E-05,0.0041315,0,0,0,0,0,0,package://clean_robot_urdf/meshes/left_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://clean_robot_urdf/meshes/left_wheel.STL,,Y25006-01.04 Y25006_路径智能规划工业清洁机器人的研发_行走单元01-2/iWMC10409-02222-A180-MBDT-02 驱动轮-1,left_wheel,,left_wheel,continuous,-0.21,0.35525,-0.057,0,0,0,base_link,0,0,0,100,1,-3.14,3.14,,,,,,,,
right_wheel,4.0925E-05,0.023024,-0.00050223,0,0,0,1.0564,0.0039835,-2.5313E-06,2.7501E-06,0.004638,3.3138E-05,0.0041315,0,0,0,0,0,0,package://clean_robot_urdf/meshes/right_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://clean_robot_urdf/meshes/right_wheel.STL,,Y25006-01.04 Y25006_路径智能规划工业清洁机器人的研发_行走单元01-1/iWMC10409-02222-A180-MBDT-02 驱动轮-1,right_wheel,,right_wheel,continuous,-0.21,-0.35525,-0.057,0,0,0,base_link,0,0,0,100,1,-3.14,3.14,,,,,,,,
gyro,3.1965E-05,-1.3878E-17,0.0060316,0,0,0,0.02361,5.4191E-06,5.5519E-21,1.8141E-09,4.3874E-06,7.0038E-21,9.3231E-06,0,0,0,0,0,0,package://clean_robot_urdf/meshes/gyro.STL,0.74118,0.90196,0.95686,1,0,0,0,0,0,0,package://clean_robot_urdf/meshes/gyro.STL,,Y25006-01.02 Y25006_路径智能规划工业清洁机器人的研发_水箱单元-2/Y25006-01.02.02 Y25006_路径智能规划工业清洁机器人的研发_控制箱-1/惯导模块N100-1,gyro,,gyro,fixed,0.09075,0.234,0.5377,-3.1416,0,1.5708,base_link,0,0,0,100,1,-3.14,3.14,,,,,,,,
front_laser,-0.550525948072943,0.0400079398991852,0.235547624375764,0,0,0,292.649704989435,44.0373395468623,2.81633498450796,1.66357751279977,43.7828032777511,-2.18059444316504,37.7889157054444,0,0,0,0,0,0,package://clean_robot_urdf/meshes/front_laser.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://clean_robot_urdf/meshes/front_laser.STL,,Y25006-01.01 Y25006_路径智能规划工业清洁机器人的研发_车架模组-2/Y25006-01.01.02 Y25006_路径智能规划工业清洁机器人的研发_扫描仪组件1-3/716Mini（升级版）外壳模型-1,front_laser,,front_laser,fixed,0.42468,0.36619,0.0495,0,0,0.7854,base_link,0,0,0,100,1,-3.14,3.14,,,,,,,,
back_laser,-0.606063155895012,0.0792949530645376,0.235547624375765,0,0,0,292.649704989435,44.0373395468623,2.81633498450796,-1.66357751279979,43.7828032777511,2.18059444316503,37.7889157054444,0,0,0,0,0,0,package://clean_robot_urdf/meshes/back_laser.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://clean_robot_urdf/meshes/back_laser.STL,,Y25006-01.01 Y25006_路径智能规划工业清洁机器人的研发_车架模组-2/Y25006-01.01.02 Y25006_路径智能规划工业清洁机器人的研发_扫描仪组件1-2/716Mini（升级版）外壳模型-1,back_laser,,back_laser,fixed,-0.47752,-0.36729,0.0495,0,0,-2.3562,base_link,0,0,0,100,1,-3.14,3.14,,,,,,,,
left_camera,-0.0141516366925666,-3.26056080095505E-05,0.00213468650215209,0,0,0,0.0330606537395875,2.18493760077461E-05,-6.17717819624996E-09,1.25370444127801E-07,2.18264141606428E-05,-1.50421742192633E-09,3.29669338756779E-06,0,0,0,0,0,0,package://clean_robot_urdf/meshes/left_camera.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://clean_robot_urdf/meshes/left_camera.STL,,Y25006-01.03 Y25006_路径智能规划工业清洁机器人的研发_车载外壳-1/深度相机 D435-3-1,left_camera,,left_camera,fixed,-0.36459,0.38251,0.79049,0.59889,0.72678,0.47536,base_link,0,0,0,100,1,-3.14,3.14,,,,,,,,
right_camera,-0.0141516361666065,-3.26036350821735E-05,0.00213466768908482,0,0,0,0.0330606483873418,2.18493477974992E-05,-6.17679741189438E-09,1.25366332467947E-07,2.18263835224402E-05,-1.50439378133062E-09,3.29669552730337E-06,0,0,0,0,0,0,package://clean_robot_urdf/meshes/right_camera.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://clean_robot_urdf/meshes/right_camera.STL,,Y25006-01.03 Y25006_路径智能规划工业清洁机器人的研发_车载外壳-1/深度相机 D435-2-5,right_camera,,right_camera,fixed,-0.36449,-0.38247,0.79057,-0.59889,0.72678,-0.47536,base_link,0,0,0,100,1,-3.14,3.14,,,,,,,,
up_camera,-0.0141516243722175,-3.26096145666366E-05,0.00213464076433513,0,0,0,0.0330606354180295,2.1849341566882E-05,-6.17921287204605E-09,1.25356970547292E-07,2.18263739734521E-05,-1.49626199314348E-09,3.29669412757788E-06,0,0,0,0,0,0,package://clean_robot_urdf/meshes/up_camera.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://clean_robot_urdf/meshes/up_camera.STL,,Y25006-01.03 Y25006_路径智能规划工业清洁机器人的研发_车载外壳-1/深度相机 D435-4-1,up_camera,,up_camera,fixed,0.30874,0,0.83696,1.5708,0.20944,0,base_link,0,0,0,100,1,-3.14,3.14,,,,,,,,
down_camera,-0.0141516246150703,-3.2608990155269E-05,0.00213463913380307,0,0,0,0.0330606407134946,2.18493246164614E-05,-6.1789784629534E-09,1.25354729142066E-07,2.18263555001382E-05,-1.49709330581095E-09,3.29669547205362E-06,0,0,0,0,0,0,package://clean_robot_urdf/meshes/down_camera.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://clean_robot_urdf/meshes/down_camera.STL,,Y25006-01.03 Y25006_路径智能规划工业清洁机器人的研发_车载外壳-1/深度相机 D435-8,down_camera,,down_camera,fixed,0.468,0,0.17399,0,0,0,base_link,0,0,0,100,1,-3.14,3.14,,,,,,,,
laser,4.01377249381607E-07,-0.0004029337120008,-0.0123695383858642,0,0,0,0.231565199535219,0.000154249816516349,3.19274550737147E-09,1.57803601278125E-09,0.000148311975446975,-2.12876270026058E-06,0.000139022675797784,0,0,0,0,0,0,package://clean_robot_urdf/meshes/laser.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://clean_robot_urdf/meshes/laser.STL,,Y25006-01.03 Y25006_路径智能规划工业清洁机器人的研发_车载外壳-1/719-外观文件（万集扫描仪）-1,laser,,laser,fixed,0.14712,-0.00045106,0.94715,0,0,0,base_link,0,0,0,100,1,-3.14,3.14,,,,,,,,
